name,headquarter,market_capitalization
Taishin Financial Holding Co Ltd,TW,"$8,228"
Turkiye Is Bankasi AS,TR,"$10,133"
KB Financial Group Inc,KR,"$22,242"
CIMB Group Holdings Bhd,MY,"$20,181"
Chailease Holding Company Ltd,TW,"$6,694"
Woori Financial Group Inc,KR,"$8,624"
Shanghai Commercial & Savings Bank Ltd,TW,"$6,541"
Hana Financial Group Inc,KR,"$12,057"
Malayan Banking Bhd,MY,"$28,634"
Turkiye Sinai Kalkinma Bankasi AS,TR,$981
Shinhan Financial Group Co Ltd,KR,"$16,864"
Akbank TAS,TR,"$9,131"
Hong Leong Bank Bhd,MY,"$10,016"
Abrdn PLC,GB,"$3,546"
Eurobank Ergasias Services and Holdings SA,GR,"$8,969"
CaixaBank SA,ES,"$45,210"
Bank Central Asia Tbk PT,ID,"$68,215"
Yuanta Financial Holding Co Ltd,TW,"$14,200"
Bank Mandiri (Persero) Tbk PT,ID,"$27,884"
Samsung Securities Co Ltd,KR,"$2,887"
Banco Santander-Chile,CL,"$10,393"
Alpha Services and Holdings SA,GR,"$4,276"
ING Bank Slaski SA,PL,"$9,845"
Turkiye Halk Bankasi AS,TR,"$3,785"
FinecoBank Banca Fineco SpA,IT,"$11,335"
Grupo Security SA,CL,"$1,123"
CIMB Thai Bank PCL,TH,$566
CTBC Financial Holding Co Ltd,TW,"$25,004"
Bank Leumi Le Israel BM,IL,"$19,510"
Bank Rakyat Indonesia (Persero) Tbk PT,ID,"$36,938"
Noah Holdings Ltd,CN,$730
Banco Bbva Argentina SA,AR,"$4,434"
E.SUN Financial Holding Co Ltd,TW,"$14,113"
Marocaine pour le Commerce et l'Industrie Banque SA,MA,$858
Grupo Financiero Banorte SAB de CV,MX,"$21,121"
National Bank of Bahrain BSC,BH,"$2,887"
TBC Bank Group PLC,GB,"$2,568"
mBank SA,PL,"$7,320"
Public Bank Bhd,MY,"$19,554"
Bank of New York Mellon Corp,US,"$61,362"
Bper Banca SpA,IT,"$9,418"
Banco Bilbao Vizcaya Argentaria Colombia SA,CO,$753
BNK Financial Group Inc,KR,"$2,487"
First Financial Holding Co Ltd,TW,"$11,886"
Mega Financial Holding Co Ltd,TW,"$17,495"
Banco Comercial Portugues SA,PT,"$7,919"
First Abu Dhabi Bank PJSC,AE,"$43,348"
Bankinter SA,ES,"$7,852"
Banca Transilvania SA,RO,"$5,225"
Anima Holding SpA,IT,"$2,297"
Legal & General Group PLC,GB,"$17,395"
Banco Bradesco SA,BR,"$21,436"
IGM Financial Inc,CA,"$7,343"
Hang Seng Bank Ltd,HK,"$25,003"
Sinolink Securities Co Ltd,CN,"$4,557"
Bolsas y Mercados Argentinos SA,AR,"$1,376"
Nippon Life India Asset Management Ltd,IN,"$4,038"
Turkiye Garanti Bankasi AS,TR,"$15,123"
B3 SA Brasil Bolsa Balcao,BR,"$10,526"
Santander Bank Polska SA,PL,"$13,003"
JB Financial Group Co Ltd,KR,"$2,373"
Sekerbank TAS,TR,$269
Yuanta Securities Korea Co Ltd,KR,$391
Mizrahi Tefahot Bank Ltd,IL,"$12,461"
First Capital Securities Co Ltd,CN,"$4,722"
illimity Bank SpA,IT,$325
Itau Unibanco Holding SA,BR,"$55,630"
Perpetual Ltd,AU,"$1,636"
Piraeus Financial Holdings SA,GR,"$5,652"
Haitong Securities Co Ltd,CN,"$16,577"
Abu Dhabi Islamic Bank PJSC,AE,"$15,980"
Fosun International Ltd,HK,"$4,547"
Albaraka Turk Katilim Bankasi AS,TR,$459
Sparebank 1 Sor-Norge ASA,NO,"$5,384"
Daiwa Securities Group Inc,JP,"$10,817"
Bancolombia SA,CO,"$9,913"
SCB X PCL,TH,"$12,484"
Kenanga Investment Bank Bhd,MY,$160
Nova Ljubljanska banka dd Ljubljana,SI,"$2,896"
BAWAG Group AG,AT,"$7,153"
China Zheshang Bank Co Ltd,CN,"$10,267"
Regions Financial Corp,US,"$22,171"
Bursa Malaysia Bhd,MY,"$1,493"
ORIX Corp,JP,"$23,537"
Banco BBVA Peru SA,PE,"$3,476"
Federal Bank Ltd,IN,"$5,204"
Banca Monte dei Paschi di Siena SpA,IT,"$8,316"
RHB Bank Bhd,MY,"$6,422"
Bank of Africa SA,MA,"$4,383"
National Bank of Canada,CA,"$34,287"
Taiwan Cooperative Financial Holding Co Ltd,TW,"$11,298"
Banco Davivienda SA,CO,$532
Absa Group Ltd,ZA,"$9,182"
Huatai Securities Co Ltd,CN,"$20,693"
Storebrand ASA,NO,"$5,477"
AMMB Holdings Bhd,MY,"$4,407"
Abu Dhabi Commercial Bank PJSC,AE,"$24,434"
Mirae Asset Securities Co Ltd,KR,"$3,809"
Sinopac Financial Holdings Co Ltd,TW,"$8,660"
Banco BPM SpA,IT,"$13,923"
Amalgamated Bank,US,"$1,108"
Bank Handlowy w Warszawie SA,PL,"$3,292"
Bank Hapoalim BM,IL,"$17,559"
Singapore Exchange Ltd,SG,"$10,819"
