name,board_functions_policy,board_structure_policy,board_independence_policy,esg_reporting_scope,csr_sustainability_committee,board_gender_diversity,executive_members_gender_diversity,succession_plan,tax_transparency_policy,sdg_goal_7,sdg_goal_8,sdg_goal_11,sdg_goals_12,sdg_goal_13
Intesa Sanpaolo SpA,TRUE,TRUE,TRUE,99.50%,TRUE,42.11%,5.56%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BNP Paribas SA,TRUE,TRUE,TRUE,96.83%,TRUE,46.15%,36.84%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Banco Bilbao Vizcaya Argentaria SA,TRUE,TRUE,TRUE,91.00%,TRUE,40.00%,25.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Shinhan Financial Group Co Ltd,TRUE,TRUE,TRUE,83.41%,TRUE,18.18%,16.67%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Standard Chartered PLC,TRUE,TRUE,FALSE,100.00%,TRUE,38.46%,46.67%,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Commonwealth Bank of Australia,FALSE,TRUE,TRUE,100.00%,TRUE,50.00%,42.86%,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Banco de Sabadell SA,TRUE,TRUE,TRUE,67.77%,TRUE,33.33%,21.43%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CaixaBank SA,FALSE,TRUE,TRUE,80.75%,TRUE,40.00%,15.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Taishin Financial Holding Co Ltd,FALSE,TRUE,TRUE,100.00%,TRUE,14.29%,33.33%,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Turkiye Is Bankasi AS,TRUE,TRUE,FALSE,100.00%,TRUE,18.18%,15.38%,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
Nomura Holdings Inc,FALSE,TRUE,TRUE,86.00%,TRUE,16.67%,11.43%,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
KB Financial Group Inc,TRUE,TRUE,TRUE,100.00%,TRUE,33.33%,13.33%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CIMB Group Holdings Bhd,TRUE,TRUE,TRUE,97.31%,TRUE,28.57%,17.65%,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Chailease Holding Company Ltd,FALSE,TRUE,TRUE,53.77%,TRUE,11.11%,23.08%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Banco Santander-Chile,FALSE,TRUE,TRUE,100.00%,TRUE,44.44%,22.22%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Citigroup Inc,TRUE,TRUE,TRUE,100.00%,TRUE,53.85%,16.67%,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Woori Financial Group Inc,TRUE,TRUE,TRUE,88.60%,TRUE,16.67%,0.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Shanghai Commercial & Savings Bank Ltd,FALSE,TRUE,TRUE,33.61%,TRUE,0.00%,20.00%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
UBS Group AG,TRUE,TRUE,TRUE,100.00%,TRUE,33.33%,37.50%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Hana Financial Group Inc,TRUE,TRUE,TRUE,83.89%,TRUE,10.00%,9.52%,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
